range1,COUNT(*)
0,215
1-10,186
1001-1500,22
101-200,82
11-20,54
1501-2000,11
2001-2500,11
201-300,26
21-30,25
2501-3000,14
3001-3500,16
301-400,23
31-40,26
3501-4000,6
4001-4500,7
401-500,22
41-50,22
4501-5000,17
5001-5500,6
501-600,10
51-60,13
5501-6000,2
6001-6500,2
601-700,23
61-70,18
6501-7000,3
7001-7500,2
701-800,9
71-80,15
7501-8000,2
8001-8500,6
801-900,8
81-90,16
8501-9000,5
9001-9500,14
901-1000,9
91-100,13
9501-10000,3
"Above 10000",23
