crl+AF8-uri,crl+AF8-size,num+AF8-of+AF8-revoked,used+AF8-by,amortized+AF8-cost
http://crl.godaddy.com/gds1+AC0-57.crl,185146,4608,255,727
http://crl.godaddy.com/gds1+AC0-63.crl,185017,4605,229,808
http://crl.tcs.terena.org/TERENASSLCA.crl,163578,4595,464,353
http://crl.godaddy.com/gds1+AC0-66.crl,183447,4566,248,740
http://crl.godaddy.com/gds1+AC0-54.crl,182639,4548,198,923
http://crl.godaddy.com/gds1+AC0-56.crl,182290,4536,249,733
http://crl.godaddy.com/gds1+AC0-62.crl,181318,4517,206,881
http://crl.godaddy.com/gds1+AC0-68.crl,181056,4509,292,621
http://crl.godaddy.com/gds1+AC0-60.crl,180044,4482,252,715
http://crl.godaddy.com/gds1+AC0-53.crl,180040,4479,166,1085
http://crl.godaddy.com/gds1+AC0-55.crl,179259,4462,193,929
http://ca.cz.o2.com/crl/CA+AC0-CRL.crl,170648,4352,2,85324
http://crl.incommon.org/InCommonServerCA.crl,151973,4267,191,796
http://crl.godaddy.com/gds1+AC0-52.crl,170912,4250,190,900
http://csp.rcsc.lt/cdp/VI+ACU-20Registru+ACU-20Centras+ACU-20RCSC+ACU-20(IssuingCA+AC0-A).crl,160828,4063,1,160828
http://crl.swissdigicert.ch/sdcs+AC0-rubin.crl,139298,3815,2,69649
http://crl.starfieldtech.com/sfs1+AC0-20.crl,153475,3813,198,776
http://gfaca.gfapki.com.cn/gfa/crl/gfaCA.crl,187132,3811,2,93566
http://crl.starfieldtech.com/sfs1+AC0-21.crl,152401,3790,216,706
http://crl.disa.mil/crl/DODCA+AF8-21.crl,80272,3627,1,80272
http://crl.godaddy.com/gds1+AC0-36.crl,145042,3607,175,829
http://crl.disa.mil/crl/DODCA+AF8-27.crl,74503,3450,5,14901
http://pks.experian.com/crl/subca1.crl,127624,3430,1,127624
http://icp+AC0-brasil.certisign.com.br/repositorio/lcr/ACImprensaOficialSPRFBG3/LatestCRL.crl,120780,3429,1,120780
http://crl.godaddy.com/gds2+AC0-17.crl,135607,3368,565,241
http://crl.godaddy.com/gds1+AC0-33.crl,133387,3314,113,1181
http://crl.godaddy.com/gds1+AC0-32.crl,133388,3314,99,1348
http://crl.geotrust.com/crls/globalca1.crl,72782,3295,390,187
http://crl.godaddy.com/gds1+AC0-30.crl,130898,3250,122,1073
http://crl.godaddy.com/gds1+AC0-35.crl,128461,3193,118,1089
http://crl.acabogacia.org/crl/ACAcorporativos.crl,155746,3161,2,77873
http://www.pki.admin.ch/crl/AdminCA+AC0-CD+AC0-T01.crl,181407,3154,1,181407
http://crl.godaddy.com/gds1+AC0-34.crl,126501,3133,136,931
http://crl.godaddy.com/gds1+AC0-27.crl,123738,3065,84,1474
http://crl.disa.mil/crl/DODCA+AF8-22.crl,67813,3061,1,67813
http://crl.quovadisglobal.com/qvsslica.crl,134977,3019,103,1311
http://crl.godaddy.com/gds1+AC0-29.crl,121016,3003,96,1261
http://crl.godaddy.com/gds1+AC0-28.crl,119588,2969,114,1050
